Plates put on the bottom of the oven ( ) the heat.,prevent,stop,avoid,deprive,prevent,"オーブンの底に置かれた皿は熱を逃がさないようにします。"
A group of young people ( ) from drinking in the park.,prohibited,prevented,deprived,removed,prohibited,"若者たちは公園での飲酒を禁止されています。"
My parents are trying to ( ) me from traveling alone.,discourage,recall,observe,relieve,discourage,"両親は私が一人で旅行するのを思いとどまらせようとしています。"
The drug maker hesitated to ( ) users of the possible fatal side effects.,about,announce,communicate,inform,inform,"製薬会社は致命的な副作用の可能性を利用者に知らせることをためらいました。"
I am now ( ) of his honesty.,convinced,believed,persuaded,confident,convinced,"私は今、彼の誠実さを確信しています。"
It is quite unfair that, except for aristocrats, people were deprived ( ) their freedom of speech.,for,to,in,of,of,"人々は言論の自由を奪われました。"
Lucy was ( ) of her expensive rings.,robbed,stolen,deprived,removed,robbed,"ルーシーは高価な指輪を盗まれました。"
She slept away and ( ) the department of all the furniture and articles belonging to it.,cleared,cleaned,removed,deprived,cleared,"彼女は眠ってしまい、その部署の家具や備品をすべて片付けました。"
Now doctors believe that ( ) Yoshida of his illness.,cured,traveled,deprived,removed,cured,"医者たちは吉田さんの病気を治したと信じています。"
The earthquake ( ) you from visiting the bay area.,caused,prevented,avoided,stopped,prevented,"地震のせいで昨年その場所を訪れることができませんでした。"
Plates put on the bottom of the oven to keep the oven clean ( ) the heat.,prevent,stop,avoid,deprive,prevent,"オーブンの底に置かれた皿は熱を逃がさないようにします。"
A group of young people ( ) from drinking in the park.,prohibited,prevented,deprived,removed,prohibited,"若者たちは公園での飲酒を禁止されています。"
My parents are trying to ( ) me from traveling alone.,discourage,recall,observe,relieve,discourage,"両親は私が一人で旅行するのを思いとどまらせようとしています。"
That website will provide you ( ) many beautiful pictures of Japan.,about,for,with,on,with,"そのウェブサイトは日本の美しい写真をたくさん提供してくれます。"
The guidebook ( ) you with a lot of useful information for traveling in Japan.,demonstrated,deepened,engraved,furnished,furnished,"そのガイドブックは日本旅行に役立つ情報を提供します。"
Although you may not agree with me, I would like to ( ) my theory and ideas with you.,share,divide,separate,distribute,share,"あなたが賛成しないかもしれませんが、私の考えを共有したいです。"
The actress blamed ( ) her poor acting in the film.,herself,by herself,for herself,to herself,herself,"その女優は映画での下手な演技を自分のせいにしました。"
My wife accused me ( ) selfishness.,to be,for being,at having been,to have been,for being,"妻は私が自分勝手だと非難しました。"
The Metropolitan Police charged him ( ) murder.,for,of,with,to,with,"警視庁は彼を殺人で起訴しました。"
I can hardly thank you enough ( ) your help.,to,for,with,at,for,"あなたの助けにはいくら感謝してもしきれません。"
Without your help, I would not have succeeded. I’m ( ) your kindness.,please,deny,thank,appreciative,appreciative,"あなたの親切にとても感謝しています。"
Susan: Ken, can you ( ) me to the airport?,bring,take,show,drive,drive,"ケン、空港まで車で送ってくれますか。"
He came to the lake after he had walked for ten minutes. He ( ) to the lake.,hastened,caught,introduced,brought,hastened,"彼は10分歩いて湖に着きました。"
Let me ( ) you to my friend.,introduce,show,bring,take,introduce,"あなたを私の友人に紹介させてください。"
“How do I like you in the Meiji uniform? You look great, really.”,wink,smile,looks,get,looks,"明治の制服を着たあなたは本当に素敵です。"
A: I like those shoes very much. I wish they ( ).,fit,fix,match,suit,fit,"その靴が私に合えばいいのに。"
Kaori asked to ( ) my pencil during class.,borrow,lend,rent,rest,borrow,"カオリは授業中に私の鉛筆を借りたいと言いました。"
I’m afraid the bank cannot ( ) you any more money.,pay,lend,owe,borrow,lend,"銀行はこれ以上お金を貸せません。"
Let me ( ) you to my friend.,introduce,show,bring,take,introduce,"あなたを私の友人に紹介させてください。"
“How do I like you in the Meiji uniform? You look great, really.”,wink,smile,looks,get,looks,"明治の制服を着たあなたは本当に素敵です。"
A: I like those shoes very much. I wish they ( ).,fit,fix,match,suit,fit,"その靴が私に合えばいいのに。"
Kaori asked to ( ) my pencil during class.,borrow,lend,rent,rest,borrow,"カオリは授業中に私の鉛筆を借りたいと言いました。"
I’m afraid the bank cannot ( ) you any more money.,pay,lend,owe,borrow,lend,"銀行はこれ以上お金を貸せません。"
How much do I ( ) you?,owe,get,buy,spend,owe,"私はあなたにいくら借りていますか。"
Do you ( ) open the window?,mind if,like to,mind of,like me if,mind if,"窓を開けてもいいですか。"
I don’t want ( ) any misunderstanding between us.,to be,there to be,there is,there will be,there to be,"私たちの間に誤解が生まれるのは望みません。"
I have ( ) to enjoy school life.,become,come,seen,been,come,"私は学校生活を楽しむようになりました。"
( ) follows from what George says that his friend is concealing something.,It,Each,There,He,It,"ジョージの話から彼の友人が何か隠していることが分かります。"
It doesn’t ( ) what day you come but please come in the morning.,matter,happen,important,require,matter,"何曜日に来ても構いませんが、午前中に来てください。"
